pick,round,team_key,player_key
1,1,406.l.161660.t.7,406.p.30154
2,1,406.l.161660.t.2,406.p.30121
3,1,406.l.161660.t.11,406.p.30295
4,1,406.l.161660.t.1,406.p.30180
5,1,406.l.161660.t.8,406.p.27581
6,1,406.l.161660.t.12,406.p.29279
7,1,406.l.161660.t.4,406.p.29238
8,1,406.l.161660.t.10,406.p.31005
9,1,406.l.161660.t.5,406.p.30972
10,1,406.l.161660.t.6,406.p.30423
11,1,406.l.161660.t.3,406.p.26686
12,1,406.l.161660.t.9,406.p.31896
13,2,406.l.161660.t.9,406.p.33412
14,2,406.l.161660.t.3,406.p.32711
15,2,406.l.161660.t.6,406.p.29399
16,2,406.l.161660.t.5,406.p.30996
17,2,406.l.161660.t.10,406.p.32736
18,2,406.l.161660.t.4,406.p.28534
19,2,406.l.161660.t.12,406.p.30123
20,2,406.l.161660.t.8,406.p.32702
21,2,406.l.161660.t.1,406.p.26650
22,2,406.l.161660.t.11,406.p.28592
23,2,406.l.161660.t.2,406.p.32725
24,2,406.l.161660.t.7,406.p.32692
25,3,406.l.161660.t.7,406.p.30161
26,3,406.l.161660.t.2,406.p.31905
27,3,406.l.161660.t.11,406.p.31883
28,3,406.l.161660.t.1,406.p.26699
29,3,406.l.161660.t.8,406.p.30259
30,3,406.l.161660.t.12,406.p.32705
31,3,406.l.161660.t.4,406.p.27589
32,3,406.l.161660.t.10,406.p.30977
33,3,406.l.161660.t.5,406.p.27535
34,3,406.l.161660.t.6,406.p.31833
35,3,406.l.161660.t.3,406.p.31908
36,3,406.l.161660.t.9,406.p.30362
37,4,406.l.161660.t.9,406.p.32687
38,4,406.l.161660.t.3,406.p.31856
39,4,406.l.161660.t.6,406.p.31885
40,4,406.l.161660.t.5,406.p.26664
41,4,406.l.161660.t.10,406.p.30197
42,4,406.l.161660.t.4,406.p.33138
43,4,406.l.161660.t.12,406.p.30199
44,4,406.l.161660.t.8,406.p.28392
45,4,406.l.161660.t.1,406.p.31902
46,4,406.l.161660.t.11,406.p.31002
47,4,406.l.161660.t.2,406.p.27277
48,4,406.l.161660.t.7,406.p.29369
49,5,406.l.161660.t.7,406.p.33392
50,5,406.l.161660.t.2,406.p.28457
51,5,406.l.161660.t.11,406.p.30994
