week,is_playoffs,is_consolation,team_1_key,team_1_nickname,team_1_points,team_1_projected_points,is_bye,team_2_key,team_2_nickname,team_2_points,team_2_projected_points
1,False,False,423.l.129200.t.2,Joel,127.48,141.64,False,423.l.129200.t.9,light,108.52,133.99
2,False,False,423.l.129200.t.2,Joel,135.04,133.16,False,423.l.129200.t.1,Cody Bakken,154.26,108.51
3,False,False,423.l.129200.t.2,Joel,137.22,137.47,False,423.l.129200.t.10,Brian,153.84,116.22
4,False,False,423.l.129200.t.2,Joel,191.08,133.7,False,423.l.129200.t.5,Mike Bingham,163.52,133.82
5,False,False,423.l.129200.t.2,Joel,163.66,134.0,False,423.l.129200.t.8,tyler,107.38,126.82
6,False,False,423.l.129200.t.2,Joel,135.2,127.95,False,423.l.129200.t.6,Nick T,141.32,127.03
7,False,False,423.l.129200.t.2,Joel,144.64,119.44,False,423.l.129200.t.11,ppratt,139.96,136.01
8,False,False,423.l.129200.t.2,Joel,158.64,128.82,False,423.l.129200.t.4,chris l,169.68,145.57
9,False,False,423.l.129200.t.2,Joel,132.9,121.7,False,423.l.129200.t.12,James,96.78,106.18
10,False,False,423.l.129200.t.2,Joel,159.02,124.04,False,423.l.129200.t.3,Nick,135.72,127.77
11,False,False,423.l.129200.t.2,Joel,111.26,134.93,False,423.l.129200.t.7,Jesse B,126.76,138.04
12,False,False,423.l.129200.t.2,Joel,151.46,132.17,False,423.l.129200.t.9,light,136.60,120.98
13,False,False,423.l.129200.t.2,Joel,160.26,132.15,False,423.l.129200.t.1,Cody Bakken,119.76,97.47
14,False,False,423.l.129200.t.2,Joel,130.14,140.19,False,423.l.129200.t.10,Brian,137.60,121.67
15,True,False,423.l.129200.t.2,Joel,132.64,138.35,False,423.l.129200.t.11,ppratt,126.96,138.75
16,True,False,423.l.129200.t.2,Joel,187.16,147.78,False,423.l.129200.t.8,tyler,153.50,142.22
17,True,False,423.l.129200.t.2,Joel,155.56,147.33,False,423.l.129200.t.7,Jesse B,99.66,130.50
1,False,False,423.l.129200.t.7,Jesse B,97.68,125.21,False,423.l.129200.t.10,Brian,126.92,129.42
2,False,False,423.l.129200.t.7,Jesse B,180.26,135.85,False,423.l.129200.t.5,Mike Bingham,151.80,135.86
3,False,False,423.l.129200.t.7,Jesse B,150.84,142.98,False,423.l.129200.t.8,tyler,135.38,145.46
4,False,False,423.l.129200.t.7,Jesse B,119.4,137.84,False,423.l.129200.t.6,Nick T,130.72,129.50
5,False,False,423.l.129200.t.7,Jesse B,155.62,135.77,False,423.l.129200.t.11,ppratt,103.22,137.80
6,False,False,423.l.129200.t.7,Jesse B,106.72,137.69,False,423.l.129200.t.4,chris l,156.24,145.00
