player_key,player_id,player_name,team,nfl_player_key,position,bye_week,points,league_key
423.p.32687,32687,CeeDee Lamb,Dallas Cowboys,nfl.p.32687,WR,7,403.20,423.l.129200
423.p.30977,30977,Josh Allen,Buffalo Bills,nfl.p.30977,QB,13,392.64,423.l.129200
423.p.30121,30121,Christian McCaffrey,San Francisco 49ers,nfl.p.30121,RB,9,391.30,423.l.129200
423.p.29399,29399,Tyreek Hill,Miami Dolphins,nfl.p.29399,WR,10,376.40,423.l.129200
423.p.32723,32723,Jalen Hurts,Philadelphia Eagles,nfl.p.32723,QB,10,356.82,423.l.129200
423.p.29369,29369,Dak Prescott,Dallas Cowboys,nfl.p.29369,QB,7,342.84,423.l.129200
423.p.31002,31002,Lamar Jackson,Baltimore Ravens,nfl.p.31002,QB,13,331.22,423.l.129200
423.p.33500,33500,Amon-Ra St. Brown,Detroit Lions,nfl.p.33500,WR,9,330.90,423.l.129200
423.p.32696,32696,Jordan Love,Green Bay Packers,nfl.p.32696,QB,6,319.06,423.l.129200
423.p.40168,40168,Puka Nacua,Los Angeles Rams,nfl.p.40168,WR,10,298.50,423.l.129200
423.p.34218,34218,Brock Purdy,San Francisco 49ers,nfl.p.34218,QB,9,295.60,423.l.129200
423.p.33991,33991,Breece Hall,New York Jets,nfl.p.33991,RB,7,290.50,423.l.129200
423.p.31883,31883,A.J. Brown,Philadelphia Eagles,nfl.p.31883,WR,10,289.60,423.l.129200
423.p.29235,29235,Jared Goff,Detroit Lions,nfl.p.29235,QB,9,289.10,423.l.129200
423.p.30994,30994,DJ Moore,Chicago Bears,nfl.p.30994,WR,13,286.50,423.l.129200
423.p.27535,27535,Mike Evans,Tampa Bay Buccaneers,nfl.p.27535,WR,5,282.50,423.l.129200
423.p.33413,33413,Travis Etienne Jr.,Jacksonville Jaguars,nfl.p.33413,RB,9,282.40,423.l.129200
423.p.30123,30123,Patrick Mahomes,Kansas City Chiefs,nfl.p.30123,QB,10,280.22,423.l.129200
423.p.26699,26699,Keenan Allen,Chicago Bears,nfl.p.26699,WR,13,278.86,423.l.129200
423.p.40030,40030,C.J. Stroud,Houston Texans,nfl.p.40030,QB,7,276.02,423.l.129200
423.p.30971,30971,Baker Mayfield,Tampa Bay Buccaneers,nfl.p.30971,QB,5,274.06,423.l.129200
423.p.28534,28534,Stefon Diggs,Houston Texans,nfl.p.28534,WR,7,273.80,423.l.129200
423.p.32675,32675,Tua Tagovailoa,Miami Dolphins,nfl.p.32675,QB,10,270.36,423.l.129200
423.p.34047,34047,Rachaad White,Tampa Bay Buccaneers,nfl.p.34047,RB,5,267.90,423.l.129200
423.p.28654,28654,Raheem Mostert,Miami Dolphins,nfl.p.28654,RB,10,267.70,423.l.129200
423.p.30161,30161,Joe Mixon,Houston Texans,nfl.p.30161,RB,7,267.00,423.l.129200
423.p.27581,27581,Davante Adams,Las Vegas Raiders,nfl.p.27581,WR,13,265.40,423.l.129200
423.p.33393,33393,Ja'Marr Chase,Cincinnati Bengals,nfl.p.33393,WR,7,262.72,423.l.129200
423.p.33389,33389,Trevor Lawrence,Jacksonville Jaguars,nfl.p.33389,QB,9,262.54,423.l.129200
423.p.33477,33477,Nico Collins,Houston Texans,nfl.p.33477,WR,7,260.40,423.l.129200
423.p.34100,34100,Sam Howell,Seattle Seahawks,nfl.p.34100,QB,5,257.54,423.l.129200
423.p.25785,25785,Russell Wilson,Pittsburgh Steelers,nfl.p.25785,QB,6,256.90,423.l.129200
423.p.34120,34120,Kyren Williams,Los Angeles Rams,nfl.p.34120,RB,10,255.00,423.l.129200
423.p.32704,32704,Michael Pittman Jr.,Indianapolis Colts,nfl.p.32704,WR,11,250.20,423.l.129200
423.p.32695,32695,Brandon Aiyuk,San Francisco 49ers,nfl.p.32695,WR,9,249.20,423.l.129200
423.p.29279,29279,Derrick Henry,Baltimore Ravens,nfl.p.29279,RB,13,246.66,423.l.129200
423.p.40055,40055,Bijan Robinson,Atlanta Falcons,nfl.p.40055,RB,11,246.30,423.l.129200
423.p.31868,31868,Deebo Samuel Sr.,San Francisco 49ers,nfl.p.31868,WR,9,243.70,423.l.129200
423.p.9265,9265,Matthew Stafford,Los Angeles Rams,nfl.p.9265,QB,10,243.10,423.l.129200
423.p.40059,40059,Jahmyr Gibbs,Detroit Lions,nfl.p.40059,RB,9,242.10,423.l.129200
423.p.27564,27564,Derek Carr,New Orleans Saints,nfl.p.27564,QB,11,241.12,423.l.129200
423.p.40064,40064,Sam LaPorta,Detroit Lions,nfl.p.40064,TE,9,239.30,423.l.129200
423.p.100006,100006,Dallas,Dallas Cowboys,nfl.p.100006,DEF,7,234.50,423.l.129200
423.p.32676,32676,Justin Herbert,Los Angeles Chargers,nfl.p.32676,QB,5,234.16,423.l.129200
423.p.30180,30180,Alvin Kamara,New Orleans Saints,nfl.p.30180,RB,11,233.00,423.l.129200
423.p.34019,34019,James Cook,Buffalo Bills,nfl.p.34019,RB,13,232.70,423.l.129200
423.p.33966,33966,Chris Olave,New Orleans Saints,nfl.p.33966,WR,11,231.30,423.l.129200
423.p.27277,27277,Adam Thielen,Carolina Panthers,nfl.p.27277,WR,7,231.00,423.l.129200
423.p.30136,30136,Evan Engram,Jacksonville Jaguars,nfl.p.30136,TE,9,230.30,423.l.129200
423.p.33399,33399,Justin Fields,Pittsburgh Steelers,nfl.p.33399,QB,6,230.18,423.l.129200
423.p.30996,30996,Calvin Ridley,Tennessee Titans,nfl.p.30996,WR,7,229.90,423.l.129200
423.p.33398,33398,DeVonta Smith,Philadelphia Eagles,nfl.p.33398,WR,10,227.60,423.l.129200
423.p.26662,26662,Geno Smith,Seattle Seahawks,nfl.p.26662,QB,5,227.26,423.l.129200
423.p.28392,28392,Amari Cooper,Cleveland Browns,nfl.p.28392,WR,5,227.00,423.l.129200
423.p.100005,100005,Cleveland,Cleveland Browns,nfl.p.100005,DEF,5,225.50,423.l.129200
423.p.31896,31896,DK Metcalf,Seattle Seahawks,nfl.p.31896,WR,5,225.40,423.l.129200
423.p.26650,26650,DeAndre Hopkins,Tennessee Titans,nfl.p.26650,WR,7,223.60,423.l.129200
423.p.100033,100033,Baltimore,Baltimore Ravens,nfl.p.100033,DEF,13,223.50,423.l.129200
423.p.30972,30972,Saquon Barkley,Philadelphia Eagles,nfl.p.30972,RB,10,223.20,423.l.129200
423.p.31960,31960,Tony Pollard,Tennessee Titans,nfl.p.31960,RB,7,222.60,423.l.129200
423.p.40042,40042,Jordan Addison,Minnesota Vikings,nfl.p.40042,WR,13,221.30,423.l.129200
423.p.26686,26686,Travis Kelce,Kansas City Chiefs,nfl.p.26686,TE,10,219.40,423.l.129200
423.p.31840,31840,T.J. Hockenson,Minnesota Vikings,nfl.p.31840,TE,13,219.00,423.l.129200
423.p.32231,32231,Jakobi Meyers,Las Vegas Raiders,nfl.p.32231,WR,13,218.58,423.l.129200
423.p.40063,40063,Jayden Reed,Green Bay Packers,nfl.p.40063,WR,6,217.20,423.l.129200
423.p.34207,34207,Isiah Pacheco,Kansas City Chiefs,nfl.p.34207,RB,10,213.90,423.l.129200
423.p.33965,33965,Garrett Wilson,New York Jets,nfl.p.33965,WR,7,213.20,423.l.129200
423.p.40084,40084,Rashee Rice,Kansas City Chiefs,nfl.p.40084,WR,10,212.50,423.l.129200
423.p.34112,34112,Jerome Ford,Cleveland Browns,nfl.p.34112,RB,5,211.20,423.l.129200
423.p.30197,30197,Chris Godwin,Tampa Bay Buccaneers,nfl.p.30197,WR,5,209.20,423.l.129200
423.p.31908,31908,Terry McLaurin,Washington Commanders,nfl.p.31908,WR,14,209.20,423.l.129200
423.p.34007,34007,George Pickens,Pittsburgh Steelers,nfl.p.34007,WR,6,208.80,423.l.129200
423.p.31905,31905,David Montgomery,Detroit Lions,nfl.p.31905,RB,9,207.20,423.l.129200
423.p.100015,100015,Miami,Miami Dolphins,nfl.p.100015,DEF,10,206.50,423.l.129200
423.p.40039,40039,Zay Flowers,Baltimore Ravens,nfl.p.40039,WR,13,206.40,423.l.129200
423.p.100002,100002,Buffalo,Buffalo Bills,nfl.p.100002,DEF,13,203.50,423.l.129200
423.p.30259,30259,George Kittle,San Francisco 49ers,nfl.p.30259,TE,9,203.20,423.l.129200
423.p.100020,100020,New York,New York Jets,nfl.p.100020,DEF,7,203.00,423.l.129200
423.p.28457,28457,Tyler Lockett,Seattle Seahawks,nfl.p.28457,WR,5,202.40,423.l.129200
423.p.32692,32692,Justin Jefferson,Minnesota Vikings,nfl.p.32692,WR,13,202.20,423.l.129200
423.p.30218,30218,James Conner,Arizona Cardinals,nfl.p.30218,RB,14,201.50,423.l.129200
423.p.30142,30142,David Njoku,Cleveland Browns,nfl.p.30142,TE,5,201.20,423.l.129200
423.p.30248,30248,Joshua Dobbs,San Francisco 49ers,nfl.p.30248,QB,9,200.66,423.l.129200
423.p.33996,33996,Kenneth Walker III,Seattle Seahawks,nfl.p.33996,RB,5,199.40,423.l.129200
423.p.32705,32705,D'Andre Swift,Chicago Bears,nfl.p.32705,RB,13,199.30,423.l.129200
423.p.33394,33394,Jaylen Waddle,Miami Dolphins,nfl.p.33394,WR,10,198.60,423.l.129200
423.p.34054,34054,Brian Robinson Jr.,Washington Commanders,nfl.p.34054,RB,14,198.10,423.l.129200
