date,player_key,player_id,player,source_type,transaction_type,source_team_key,source_team_name,destination_team_key,destination_team_name
2023-01-01 10:46:09,414.p.100030,100030,Jacksonville,freeagents,add,,,414.l.153035.t.7,Johnny Utah
2023-01-01 10:46:09,414.p.100007,100007,Denver,team,drop,414.l.153035.t.7,Johnny Utah,,
2023-01-01 09:03:06,414.p.100019,100019,New York,freeagents,add,,,414.l.153035.t.6,Greek Magic
2023-01-01 09:03:06,414.p.100010,100010,Tennessee,team,drop,414.l.153035.t.6,Greek Magic,,
2022-12-29 17:56:54,414.p.34087,34087,Hassan Haskins,freeagents,add,,,414.l.153035.t.9,Spark that Spliff
2022-12-28 07:40:05,414.p.100004,100004,Cincinnati,team,drop,414.l.153035.t.8,Poon Monsoon,,
2022-12-28 07:32:31,414.p.34344,34344,Cameron Dicker,freeagents,add,,,414.l.153035.t.1,F.Y.H.
2022-12-28 07:32:31,414.p.28378,28378,Jason Myers,team,drop,414.l.153035.t.1,F.Y.H.,,
2022-12-28 01:35:46,414.p.27548,27548,Brandin Cooks,waivers,add,,,414.l.153035.t.1,F.Y.H.
2022-12-28 01:35:46,414.p.32003,32003,Darius Slayton,team,drop,414.l.153035.t.1,F.Y.H.,,
2022-12-28 01:35:46,414.p.100024,100024,Los Angeles,waivers,add,,,414.l.153035.t.1,F.Y.H.
2022-12-28 01:35:46,414.p.100005,100005,Cleveland,team,drop,414.l.153035.t.1,F.Y.H.,,
2022-12-27 07:34:38,414.p.33798,33798,Deon Jackson,team,drop,414.l.153035.t.8,Poon Monsoon,,
2022-12-25 11:35:56,414.p.33798,33798,Deon Jackson,freeagents,add,,,414.l.153035.t.8,Poon Monsoon
2022-12-25 11:35:56,414.p.100014,100014,Los Angeles,team,drop,414.l.153035.t.8,Poon Monsoon,,
2022-12-22 17:20:06,414.p.100020,100020,New York,freeagents,add,,,414.l.153035.t.2,Yordong
2022-12-22 17:20:06,414.p.100009,100009,Green Bay,team,drop,414.l.153035.t.2,Yordong,,
2022-12-22 17:17:10,414.p.33973,33973,Treylon Burks,freeagents,add,,,414.l.153035.t.2,Yordong
2022-12-21 19:44:22,414.p.29360,29360,Demarcus Robinson,freeagents,add,,,414.l.153035.t.1,F.Y.H.
2022-12-21 19:44:22,414.p.27548,27548,Brandin Cooks,team,drop,414.l.153035.t.1,F.Y.H.,,
2022-12-21 19:43:18,414.p.34042,34042,Malik Willis,freeagents,add,,,414.l.153035.t.1,F.Y.H.
2022-12-21 19:43:18,414.p.25718,25718,Ryan Tannehill,team,drop,414.l.153035.t.1,F.Y.H.,,
2022-12-21 06:35:16,414.p.28378,28378,Jason Myers,freeagents,add,,,414.l.153035.t.1,F.Y.H.
2022-12-21 06:35:16,414.p.34344,34344,Cameron Dicker,team,drop,414.l.153035.t.1,F.Y.H.,,
2022-12-21 01:39:45,414.p.34218,34218,Brock Purdy,waivers,add,,,414.l.153035.t.1,F.Y.H.
2022-12-21 01:39:45,414.p.31141,31141,Mike White,team,drop,414.l.153035.t.1,F.Y.H.,,
2022-12-21 01:39:45,414.p.31010,31010,Courtland Sutton,waivers,add,,,414.l.153035.t.12,WARREN MOON
2022-12-21 01:39:45,414.p.100014,100014,Los Angeles,waivers,add,,,414.l.153035.t.8,Poon Monsoon
